platform,throughput_tokens_per_sec,power_w,note
FPGA tokenizer fabric,1224514,0.051,"report_power dynamic (tokenizer_axi_lite_0); vectorless / Low confidence"
CPU Ryzen 7 7435HS (8C/16T 45W laptop),2529664,30,"measured peak CPU package power under sustained all-core load; idle ~14 W; HWiNFO"
