idx,chars,bert_tokens,fpga_expected_tokens,punct_tokens,core_median_us,core_min_us,core_max_us,core_std_us,core_p99_us,core_jitter_us,ovh_median_us,ovh_min_us,ovh_max_us,ovh_std_us,ovh_p99_us,ovh_jitter_us,bert_ids,fpga_expected_ids
43,651,129,117,12,198.4,191.1,646.6,35.347,370.8,455.5,220.8,208.8,716.3,46.752,438.7,507.5,10373 2303 1024 7592 2136 1010 1996 11585 26237 2949 2007 2048 15428 1999 1996 19204 17629 4130 1012 1996 2034 4945 2003 1037 6149 2791 28616 18900 2818 2006 1037 4031 3319 6251 2008 3397 5567 26136 6593 14505 1012 1996 2117 4945 2003 1037 2051 5833 2006 1037 2200 2146 12653 7099 2485 2000 1996 7953 17698 5787 1012 1045 2079 2025 2156 3350 1997 6721 5248 2138 2119 15428 21376 2007 1996 2168 8079 1012 2026 4081 2279 3357 2003 2000 15653 1996 7783 3671 3550 3793 1010 19204 6192 6567 1010 1998 2345 19204 8909 2015 2005 1996 7989 8168 1012 2044 2008 2057 2064 5630 3251 1996 3277 2003 1999 17463 3217 9623 7741 1010 16188 2298 6279 1010 2030 1996 12504 4062 1012,10373 2303 7592 2136 1996 11585 26237 2949 2007 2048 15428 1999 1996 19204 17629 4130 1996 2034 4945 2003 1037 6149 2791 28616 18900 2818 2006 1037 4031 3319 6251 2008 3397 5567 26136 6593 14505 1996 2117 4945 2003 1037 2051 5833 2006 1037 2200 2146 12653 7099 2485 2000 1996 7953 17698 5787 1045 2079 2025 2156 3350 1997 6721 5248 2138 2119 15428 21376 2007 1996 2168 8079 2026 4081 2279 3357 2003 2000 15653 1996 7783 3671 3550 3793 19204 6192 6567 1998 2345 19204 8909 2015 2005 1996 7989 8168 2044 2008 2057 2064 5630 3251 1996 3277 2003 1999 17463 3217 9623 7741 16188 2298 6279 2030 1996 12504 4062
44,767,160,138,22,237.4,223.8,904.5,55.834,499.3,680.7,256.7,242.7,1219.1,61.804,546.9,976.4,2146 25732 1024 2017 2024 23208 2019 11157 19204 17629 23468 2114 1037 17368 19204 17629 1012 2224 7235 7953 3210 1010 7969 7258 1998 2691 26136 6593 14505 1010 2896 18382 1996 3793 1999 2119 10425 1010 1998 12826 1996 22627 19204 8909 2015 7099 2011 7099 1012 2005 2169 7099 1010 2501 7953 3091 1999 27507 1010 2193 1997 6434 19204 2015 1010 2561 12709 2005 1996 1042 26952 2050 12504 1010 2813 5119 2051 2005 1996 17368 19204 17629 1010 1998 3251 1996 8909 2015 2674 3599 1012 2065 1996 8909 2015 11234 1010 6140 1996 2034 16965 2597 1010 1996 4193 7953 3793 1010 1996 8051 19204 1010 1998 1996 17368 19204 1012 7680 7849 4697 3463 2011 3091 13610 2061 1996 25169 10629 3065 2460 10861 5134 1010 5396 7696 1010 2146 20423 2015 1010 1998 2200 2146 24962 10329 1012 2079 2025 4666 27260 17856 17905 5852 2046 1996 10349 6149 2791 3556 1012,2146 25732 2017 2024 23208 2019 11157 19204 17629 23468 2114 1037 17368 19204 17629 2224 7235 7953 3210 7969 7258 1998 2691 26136 6593 14505 2896 18382 1996 3793 1999 2119 10425 1998 12826 1996 22627 19204 8909 2015 7099 2011 7099 2005 2169 7099 2501 7953 3091 1999 27507 2193 1997 6434 19204 2015 2561 12709 2005 1996 1042 26952 2050 12504 2813 5119 2051 2005 1996 17368 19204 17629 1998 3251 1996 8909 2015 2674 3599 2065 1996 8909 2015 11234 6140 1996 2034 16965 2597 1996 4193 7953 3793 1996 8051 19204 1998 1996 17368 19204 7680 7849 4697 3463 2011 3091 13610 2061 1996 25169 10629 3065 2460 10861 5134 5396 7696 2146 20423 2015 1998 2200 2146 24962 10329 2079 2025 4666 27260 17856 17905 5852 2046 1996 10349 6149 2791 3556
45,16,2,2,0,9.4,9.1,127.7,2.576,18.5,118.6,20.9,20.0,152.9,7.097,49.6,132.9,4633 4826,4633 4826
46,10,3,3,0,8.5,8.2,162.0,3.808,20.9,153.8,20.4,19.5,309.7,9.416,50.5,290.2,21025 2102 3570,21025 2102 3570
47,15,6,5,1,11.4,11.0,131.5,3.656,21.3,120.5,23.2,22.3,529.6,10.498,55.7,507.3,8840 2140 2008 1005 1055 3748,8840 2140 2008 1055 3748
48,18,5,5,0,11.8,11.4,88.5,2.826,21.8,77.1,23.9,22.7,248.7,8.638,59.2,226.0,2190 8223 2368 2379 2033,2190 8223 2368 2379 2033
49,15,4,4,0,10.2,9.9,240.4,4.394,20.5,230.5,22.3,21.2,219.3,7.732,51.5,198.1,19219 2080 26794 10651,19219 2080 26794 10651
50,13,4,3,1,9.8,9.4,204.3,4.956,20.1,194.9,21.9,21.0,266.2,8.366,48.6,245.2,2064 2017 2393 1029,2064 2017 2393
51,69,15,14,1,28.2,27.4,219.9,8.245,61.5,192.5,42.5,40.5,433.1,10.763,89.4,392.6,1996 10651 4964 1996 5823 2021 2794 1037 6881 28903 2474 2290 2006 4684 1012,1996 10651 4964 1996 5823 2021 2794 1037 6881 28903 2474 2290 2006 4684
52,64,25,18,7,30.3,29.3,191.0,7.822,69.1,161.7,44.5,42.7,304.1,12.955,99.6,261.4,16798 2575 1011 5757 1011 2538 2403 1024 3590 1024 5718 18558 8241 2318 2006 3417 3770 17914 1006 14255 2094 28015 2475 1007 1012,16798 2575 5757 2538 2403 3590 5718 18558 8241 2318 2006 3417 3770 17914 14255 2094 28015 2475
53,73,17,16,1,29.5,28.7,272.6,7.528,58.9,243.9,43.8,42.0,401.3,12.79,99.7,359.3,4339 1037 3853 2008 5651 1996 23961 2232 10882 11735 6305 6895 2193 2478 24443 3989 1012,4339 1037 3853 2008 5651 1996 23961 2232 10882 11735 6305 6895 2193 2478 24443 3989
54,74,17,14,3,30.6,29.7,440.7,10.642,71.5,411.0,45.4,43.3,319.3,10.854,97.8,276.0,9826 1996 6046 2166 2003 1996 2190 2112 1011 2009 16180 2048 2440 2420 1010 3733 1012,9826 1996 6046 2166 2003 1996 2190 2112 2009 16180 2048 2440 2420 3733
55,69,11,10,1,26.2,25.3,245.0,8.983,68.1,219.7,40.2,38.4,270.5,12.567,91.6,232.1,2430 2924 4324 3037 6165 6706 13463 3816 3171 7755 1012,2430 2924 4324 3037 6165 6706 13463 3816 3171 7755
56,70,16,15,1,29.2,28.2,308.0,8.382,56.6,279.8,43.2,41.5,326.7,13.478,102.1,285.2,2129 2079 1045 2415 1037 4487 2615 2007 23951 8758 2302 4911 1996 6687 9621 1029,2129 2079 1045 2415 1037 4487 2615 2007 23951 8758 2302 4911 1996 6687 9621
57,301,67,58,9,101.2,98.2,903.3,25.26,199.1,805.1,118.5,113.4,455.3,25.633,238.0,341.9,7632 3520 1010 4283 2005 6016 2058 1996 4433 1012 1045 3191 2083 2009 2006 1996 3345 2023 2851 1998 1045 2228 2009 1005 1055 1999 2204 4338 3452 1012 1037 3232 1997 2235 2477 1024 1996 2117 2930 17993 1037 2391 2013 1996 17174 1010 1998 1996 5166 2795 2003 4394 1996 1053 2509 5930 1012 2071 2017 2202 2178 3413 2077 5958 1029 4283 999,7632 3520 4283 2005 6016 2058 1996 4433 1045 3191 2083 2009 2006 1996 3345 2023 2851 1998 1045 2228 2009 1055 1999 2204 4338 3452 1037 3232 1997 2235 2477 1996 2117 2930 17993 1037 2391 2013 1996 17174 1998 1996 5166 2795 2003 4394 1996 1053 2509 5930 2071 2017 2202 2178 3413 2077 5958 4283
58,405,77,68,9,122.7,119.3,550.5,22.87,229.9,431.2,141.7,136.4,522.2,29.402,281.9,385.8,1996 2837 2207 2049 9556 2006 9432 2044 1037 2416 1011 3204 3319 1997 1996 2103 1005 1055 6671 2291 1012 2426 1996 11433 2020 3668 5353 2326 1010 1037 4257 13258 2005 2460 9109 1010 1998 1037 4405 2565 2005 2397 1011 2305 5847 7176 1996 2902 2212 2000 1996 9435 1012 4584 2056 4804 2052 2272 2013 1037 4666 1997 2110 8624 1998 1037 10754 13258 19037 1010 2295 2053 3813 17060 2001 2445 1012,1996 2837 2207 2049 9556 2006 9432 2044 1037 2416 3204 3319 1997 1996 2103 1055 6671 2291 2426 1996 11433 2020 3668 5353 2326 1037 4257 13258 2005 2460 9109 1998 1037 4405 2565 2005 2397 2305 5847 7176 1996 2902 2212 2000 1996 9435 4584 2056 4804 2052 2272 2013 1037 4666 1997 2110 8624 1998 1037 10754 13258 19037 2295 2053 3813 17060 2001 2445
59,451,89,77,12,140.2,135.6,588.7,25.851,262.7,453.1,159.3,153.1,545.8,28.921,302.3,392.7,2057 2556 1037 8051 1011 14613 3921 2000 4942 18351 19204 3989 2008 7341 1996 24880 1011 3940 13590 2795 3031 1037 13117 2094 2298 6279 3252 1012 4102 2000 1037 4007 26163 2770 2006 1037 2236 1011 3800 17368 1010 2256 2640 13416 2566 1011 19204 2397 9407 2096 4363 7692 8192 2306 1996 5166 1997 1037 3054 1011 2846 5080 1012 2057 16157 2408 1037 2846 1997 7953 10742 1998 3189 2083 18780 1010 10640 2114 1037 4431 7375 1010 1998 1996 3119 1011 12446 2920 1012,2057 2556 1037 8051 14613 3921 2000 4942 18351 19204 3989 2008 7341 1996 24880 3940 13590 2795 3031 1037 13117 2094 2298 6279 3252 4102 2000 1037 4007 26163 2770 2006 1037 2236 3800 17368 2256 2640 13416 2566 19204 2397 9407 2096 4363 7692 8192 2306 1996 5166 1997 1037 3054 2846 5080 2057 16157 2408 1037 2846 1997 7953 10742 1998 3189 2083 18780 10640 2114 1037 4431 7375 1998 1996 3119 12446 2920
60,440,102,87,15,142.5,138.0,503.3,27.325,263.8,365.3,161.3,155.9,638.3,30.164,305.7,482.4,1045 1005 2310 2042 2478 2023 13383 3679 2005 2055 2093 2706 2085 1012 1996 3857 3737 2003 6581 1011 1996 22082 2015 2514 5024 1998 2498 2038 25975 2098 1012 1996 12191 15273 16142 2026 5417 1011 4960 3698 1055 11231 25643 1010 1998 2045 1005 1055 1037 5023 4979 2006 1996 2067 2008 1005 1055 3819 2005 1037 12293 1012 2026 2069 12087 2003 2008 1996 2300 5835 4979 2003 1037 2210 8467 1010 2061 1037 4206 5835 12102 2000 8155 2041 2043 2017 8815 2058 1012 2145 1010 2005 1996 3976 1010 1045 1005 1040 4965 2009 2153 1012,1045 2310 2042 2478 2023 13383 3679 2005 2055 2093 2706 2085 1996 3857 3737 2003 6581 1996 22082 2015 2514 5024 1998 2498 2038 25975 2098 1996 12191 15273 16142 2026 5417 4960 3698 1055 11231 25643 1998 2045 1055 1037 5023 4979 2006 1996 2067 2008 1055 3819 2005 1037 12293 2026 2069 12087 2003 2008 1996 2300 5835 4979 2003 1037 2210 8467 2061 1037 4206 5835 12102 2000 8155 2041 2043 2017 8815 2058 2145 2005 1996 3976 1045 1040 4965 2009 2153
61,350,74,63,11,112.3,108.9,467.0,19.064,207.1,358.1,130.15,125.1,850.7,28.12,263.9,725.6,2552 2004 1037 3026 3642 12027 1012 1045 1005 2222 19351 1037 11336 1998 2017 2323 2298 2005 2093 2477 1024 6149 2791 12883 1010 3182 2073 1996 3642 2071 2022 11038 2302 5278 5248 1010 1998 2151 7516 2073 7561 8304 2003 4394 1012 2005 2169 3277 1010 2425 2033 1996 2240 1010 4863 2339 2009 5609 1010 1998 6592 1037 5509 8081 1012 2562 1996 4309 3622 1998 13558 1996 8489 1012,2552 2004 1037 3026 3642 12027 1045 2222 19351 1037 11336 1998 2017 2323 2298 2005 2093 2477 6149 2791 12883 3182 2073 1996 3642 2071 2022 11038 2302 5278 5248 1998 2151 7516 2073 7561 8304 2003 4394 2005 2169 3277 2425 2033 1996 2240 4863 2339 2009 5609 1998 6592 1037 5509 8081 2562 1996 4309 3622 1998 13558 1996 8489
62,369,154,76,78,146.6,141.7,450.3,24.143,268.9,308.6,166.5,160.6,755.6,29.0,310.8,595.0,3853 17531 12129 16044 1006 3793 1010 13590 2015 1010 29536 3540 2497 1007 1063 2292 19204 2015 1027 3793 1012 2000 27663 18992 3366 1006 1007 1012 3975 1006 1000 1000 1007 1025 2292 2904 1027 2995 1025 2096 1006 2904 1007 1063 2904 1027 6270 1025 2005 1006 2292 1045 1027 1014 1025 1045 1026 19204 2015 1012 3091 1011 1015 1025 1045 1009 1009 1007 1063 9530 3367 3940 1027 19204 2015 1031 1045 1033 1009 19204 2015 1031 1045 1009 1015 1033 1025 2065 1006 13590 2015 1031 3940 1033 999 1027 1027 6151 28344 1007 1063 19204 2015 1012 11867 13231 1006 1045 1010 1016 1010 3940 1007 1025 2904 1027 2995 1025 3338 1025 1065 1065 1065 2709 19204 2015 1012 4949 1006 1056 1027 1028 29536 3540 2497 1031 1056 1033 1029 1029 29536 3540 2497 1031 1000 1026 4895 2243 1028 1000 1033 1007 1025 1065,3853 17531 12129 16044 3793 13590 2015 29536 3540 2497 2292 19204 2015 3793 2000 27663 18992 3366 3975 2292 2904 2995 2096 2904 2904 6270 2005 2292 1045 1014 1045 19204 2015 3091 1015 1045 9530 3367 3940 19204 2015 1045 19204 2015 1045 1015 2065 13590 2015 3940 6151 28344 19204 2015 11867 13231 1045 1016 3940 2904 2995 3338 2709 19204 2015 4949 1056 29536 3540 2497 1056 29536 3540 2497 4895 2243
63,956,193,174,19,298.85,287.7,1024.3,49.941,544.9,736.6,325.4,307.8,1165.8,59.812,607.1,858.0,1996 2381 1997 1996 7829 11661 2003 1010 2006 2049 3302 1010 1037 2466 2055 1037 3384 3482 1010 2021 2009 2003 2428 1037 2466 2055 28648 1998 1996 4251 25239 2008 3582 2013 2009 1012 2077 1996 11661 1010 10578 1037 6636 2911 2001 4030 1010 4795 1010 1998 6450 2147 2589 2011 2192 1024 2146 19208 3549 2052 25579 13826 1010 14918 1010 1998 27619 1997 13544 2367 10466 2046 1996 2907 1010 1037 2832 2008 2071 2202 2420 1998 16678 1037 2312 3745 1997 1037 22613 1005 1055 2561 3465 1012 2043 1037 4744 2075 3237 3724 1996 2801 1997 1037 2309 3115 3482 2008 2071 2693 2013 4744 2000 2911 2000 3345 2302 2412 2108 4895 23947 2098 1010 1996 5012 2001 9205 1010 2013 8946 9209 5191 2055 5841 2000 8831 15175 2000 3477 2005 2047 27083 1012 2664 2320 1996 3115 2165 2907 1010 1996 3465 1997 3048 5350 2408 2019 4153 3062 2061 2521 2008 2009 24501 3270 5669 2073 2477 2020 2081 1010 3810 6802 11123 2046 24286 20141 1998 26035 2075 2362 1037 3795 4610 3005 25180 2015 2087 1997 2149 2196 5060 1012,1996 2381 1997 1996 7829 11661 2003 2006 2049 3302 1037 2466 2055 1037 3384 3482 2021 2009 2003 2428 1037 2466 2055 28648 1998 1996 4251 25239 2008 3582 2013 2009 2077 1996 11661 10578 1037 6636 2911 2001 4030 4795 1998 6450 2147 2589 2011 2192 2146 19208 3549 2052 25579 13826 14918 1998 27619 1997 13544 2367 10466 2046 1996 2907 1037 2832 2008 2071 2202 2420 1998 16678 1037 2312 3745 1997 1037 22613 1055 2561 3465 2043 1037 4744 2075 3237 3724 1996 2801 1997 1037 2309 3115 3482 2008 2071 2693 2013 4744 2000 2911 2000 3345 2302 2412 2108 4895 23947 2098 1996 5012 2001 9205 2013 8946 9209 5191 2055 5841 2000 8831 15175 2000 3477 2005 2047 27083 2664 2320 1996 3115 2165 2907 1996 3465 1997 3048 5350 2408 2019 4153 3062 2061 2521 2008 2009 24501 3270 5669 2073 2477 2020 2081 3810 6802 11123 2046 24286 20141 1998 26035 2075 2362 1037 3795 4610 3005 25180 2015 2087 1997 2149 2196 5060
64,806,176,154,22,248.1,239.1,745.0,43.3,449.4,505.9,270.1,258.5,856.9,40.504,470.8,598.4,2000 9530 8873 27390 2063 1996 2326 1010 3443 1037 5371 2315 9530 8873 2290 1999 1996 2622 7117 1998 3073 5300 2005 2169 3223 2492 1012 1996 3677 1998 3417 4249 2491 2073 1996 8241 4952 2015 1025 2065 2017 18168 4183 2068 1010 1996 12398 2015 2024 2334 15006 2102 1998 3770 17914 1012 1996 15899 2930 13385 1037 2504 1006 2028 1997 2139 8569 2290 1010 18558 1010 11582 1010 2030 7561 1007 1998 2019 11887 4130 2000 1037 8833 5371 1025 2043 2053 4130 2003 2445 1010 6434 3632 2000 3115 7561 1012 4044 10857 1010 2065 2556 1010 2202 23359 2058 1996 5371 1010 2029 3084 2009 14057 2000 2058 15637 3265 10906 1999 1037 11661 2302 14584 1996 3746 1012 2044 9260 1996 5371 1010 23818 1996 2326 2005 3431 2000 2202 3466 1010 1998 4638 1996 22752 9484 2000 12210 2008 1996 5300 2020 8209 2004 2017 3517 1012 2065 1996 2326 11896 2000 2707 1010 1996 2087 2691 3426 2003 1037 3417 2008 2003 2525 1999 2224 1012,2000 9530 8873 27390 2063 1996 2326 3443 1037 5371 2315 9530 8873 2290 1999 1996 2622 7117 1998 3073 5300 2005 2169 3223 2492 1996 3677 1998 3417 4249 2491 2073 1996 8241 4952 2015 2065 2017 18168 4183 2068 1996 12398 2015 2024 2334 15006 2102 1998 3770 17914 1996 15899 2930 13385 1037 2504 2028 1997 2139 8569 2290 18558 11582 2030 7561 1998 2019 11887 4130 2000 1037 8833 5371 2043 2053 4130 2003 2445 6434 3632 2000 3115 7561 4044 10857 2065 2556 2202 23359 2058 1996 5371 2029 3084 2009 14057 2000 2058 15637 3265 10906 1999 1037 11661 2302 14584 1996 3746 2044 9260 1996 5371 23818 1996 2326 2005 3431 2000 2202 3466 1998 4638 1996 22752 9484 2000 12210 2008 1996 5300 2020 8209 2004 2017 3517 2065 1996 2326 11896 2000 2707 1996 2087 2691 3426 2003 1037 3417 2008 2003 2525 1999 2224
65,931,213,186,27,307.1,292.1,1180.6,59.514,583.5,888.5,324.95,313.2,943.6,50.993,602.6,630.4,7592 1010 4067 2017 2005 4285 2041 1010 1998 1045 1005 1049 3374 2000 2963 2008 1996 3522 22613 3369 5591 1012 1045 1005 2310 2246 2046 2115 2344 1998 1045 2064 2156 2008 2009 2001 8966 1998 14501 2006 1996 2353 1010 2061 2009 4165 2066 1996 4053 3047 1999 6671 2738 2084 2012 2256 9746 1012 2182 1005 1055 2054 1045 1005 1040 2066 2000 2079 1024 1045 1005 2310 2525 3843 1037 6110 2012 2053 3465 2000 2017 1010 1998 2009 2323 7180 2306 2274 2449 2420 1012 2017 2123 1005 1056 2342 2000 2709 1996 5591 8875 1010 2021 2065 2017 1005 2128 2583 2000 4604 1037 4248 6302 1997 1996 14793 1010 2009 7126 2149 5210 1996 3277 2007 1996 6839 2061 2009 2987 1005 1056 2562 6230 1012 1045 1005 2310 2036 2794 1037 2235 4923 2000 2115 4070 2004 2019 12480 2005 1996 4297 2239 8159 13684 1012 2065 2505 2055 1996 6110 3475 1005 1056 2157 2043 2009 3065 2039 1010 2074 7514 2000 2023 4471 1998 2009 2097 2272 3442 2067 2000 2033 2738 2084 1996 2236 24240 1010 2061 1045 2064 4066 2009 2041 2005 2017 3495 1012 4283 2153 2005 2115 11752 1010 1998 25380 2320 2062 2005 1996 5931 2707 1012,7592 4067 2017 2005 4285 2041 1998 1045 1049 3374 2000 2963 2008 1996 3522 22613 3369 5591 1045 2310 2246 2046 2115 2344 1998 1045 2064 2156 2008 2009 2001 8966 1998 14501 2006 1996 2353 2061 2009 4165 2066 1996 4053 3047 1999 6671 2738 2084 2012 2256 9746 2182 1055 2054 1045 1040 2066 2000 2079 1045 2310 2525 3843 1037 6110 2012 2053 3465 2000 2017 1998 2009 2323 7180 2306 2274 2449 2420 2017 2123 1056 2342 2000 2709 1996 5591 8875 2021 2065 2017 2128 2583 2000 4604 1037 4248 6302 1997 1996 14793 2009 7126 2149 5210 1996 3277 2007 1996 6839 2061 2009 2987 1056 2562 6230 1045 2310 2036 2794 1037 2235 4923 2000 2115 4070 2004 2019 12480 2005 1996 4297 2239 8159 13684 2065 2505 2055 1996 6110 3475 1056 2157 2043 2009 3065 2039 2074 7514 2000 2023 4471 1998 2009 2097 2272 3442 2067 2000 2033 2738 2084 1996 2236 24240 2061 1045 2064 4066 2009 2041 2005 2017 3495 4283 2153 2005 2115 11752 1998 25380 2320 2062 2005 1996 5931 2707
