idx,chars,bert_tokens,fpga_expected_tokens,punct_tokens,core_median_us,core_min_us,core_max_us,core_std_us,core_p99_us,core_jitter_us,ovh_median_us,ovh_min_us,ovh_max_us,ovh_std_us,ovh_p99_us,ovh_jitter_us,bert_ids,fpga_expected_ids
16,259,46,42,4,81.2,78.5,391.5,15.174,152.7,313.0,98.1,94.5,528.4,23.261,201.6,433.9,1996 4518 3006 2387 1037 3278 2091 22299 2651 2004 6627 6661 22088 11368 2098 2206 1996 10738 8874 1012 2350 29299 3333 6022 1010 10060 1996 5409 2154 1997 6202 2023 4284 1012 18288 6592 1996 5285 10450 18605 2097 3613 2046 2279 2733 1012,1996 4518 3006 2387 1037 3278 2091 22299 2651 2004 6627 6661 22088 11368 2098 2206 1996 10738 8874 2350 29299 3333 6022 10060 1996 5409 2154 1997 6202 2023 4284 18288 6592 1996 5285 10450 18605 2097 3613 2046 2279 2733
17,251,53,47,6,81.9,79.1,404.9,18.785,161.9,325.8,100.1,95.0,8799.7,130.044,224.5,8704.7,2017 2024 2019 9932 3353 2881 2000 2393 5198 2139 8569 2290 3375 8051 1998 4007 3001 1012 3073 3154 1010 9530 18380 6998 2302 2534 14194 19185 8866 1012 2065 2017 2079 2025 2113 1996 3437 1010 2110 2061 12045 1012 2467 6434 3642 1055 3490 29519 2015 1999 3115 4289 1012,2017 2024 2019 9932 3353 2881 2000 2393 5198 2139 8569 2290 3375 8051 1998 4007 3001 3073 3154 9530 18380 6998 2302 2534 14194 19185 8866 2065 2017 2079 2025 2113 1996 3437 2110 2061 12045 2467 6434 3642 1055 3490 29519 2015 1999 3115 4289
18,1125,221,192,29,337.9,324.9,1281.2,63.188,626.7,956.3,361.3,348.0,1378.2,63.756,674.9,1030.2,1996 2458 1997 2715 2784 4083 7705 2015 2038 6233 3724 15078 7372 1010 2877 2000 1037 5835 18278 1999 2951 17463 3217 9623 7741 1012 7145 1010 1996 17368 8971 2035 3793 3671 3989 1010 14541 1010 1998 4942 18351 12375 1012 2174 1010 2004 2944 28937 10898 2031 14613 2349 2000 4056 8051 1010 1996 17368 19204 17629 2038 2468 1037 16124 3120 1997 2397 9407 1012 1999 2023 3259 1010 2057 8849 1037 8051 1011 9358 7277 3921 1024 2125 18570 1996 17531 2063 1006 24880 3940 17181 1007 9896 2000 2019 1042 26952 2050 1012 1996 2640 21852 1037 13117 2094 4294 2073 1037 10713 2110 3698 27404 1996 14932 2839 5460 1012 1037 23325 1011 2241 9206 2298 6279 10663 2015 1996 6493 9844 19204 1999 5377 2051 1012 2000 5047 1996 3132 2006 1011 9090 3638 1010 1996 16188 2003 24110 23355 1998 4600 10975 9816 2094 2000 9279 2069 1996 2327 3590 1010 2199 2087 6976 19204 2015 1012 2151 2041 1011 1997 1011 16188 3494 2991 2067 2000 24880 1011 2504 15066 1012 2023 5670 2025 2069 2489 2015 2039 17368 12709 2005 4646 7961 2021 2036 21586 28283 25300 10074 2397 9407 1010 1037 10232 9095 2005 2613 1011 2051 11058 5097 2107 2004 2376 14193 1998 9123 4512 2389 6074 1012,1996 2458 1997 2715 2784 4083 7705 2015 2038 6233 3724 15078 7372 2877 2000 1037 5835 18278 1999 2951 17463 3217 9623 7741 7145 1996 17368 8971 2035 3793 3671 3989 14541 1998 4942 18351 12375 2174 2004 2944 28937 10898 2031 14613 2349 2000 4056 8051 1996 17368 19204 17629 2038 2468 1037 16124 3120 1997 2397 9407 1999 2023 3259 2057 8849 1037 8051 9358 7277 3921 2125 18570 1996 17531 2063 24880 3940 17181 9896 2000 2019 1042 26952 2050 1996 2640 21852 1037 13117 2094 4294 2073 1037 10713 2110 3698 27404 1996 14932 2839 5460 1037 23325 2241 9206 2298 6279 10663 2015 1996 6493 9844 19204 1999 5377 2051 2000 5047 1996 3132 2006 9090 3638 1996 16188 2003 24110 23355 1998 4600 10975 9816 2094 2000 9279 2069 1996 2327 3590 2199 2087 6976 19204 2015 2151 2041 1997 16188 3494 2991 2067 2000 24880 2504 15066 2023 5670 2025 2069 2489 2015 2039 17368 12709 2005 4646 7961 2021 2036 21586 28283 25300 10074 2397 9407 1037 10232 9095 2005 2613 2051 11058 5097 2107 2004 2376 14193 1998 9123 4512 2389 6074
19,777,148,131,17,231.5,222.9,810.6,40.037,423.9,587.7,251.1,242.7,755.9,41.006,460.7,513.2,2000 1996 8241 3447 2136 1024 2057 2024 3015 2000 3189 1037 4187 4945 1999 1996 3078 7809 8241 2284 1999 1996 2264 3358 2951 2415 1012 2012 3155 1016 1024 4002 2572 1010 1996 4860 13907 13330 2019 12978 3844 7698 8778 1012 1996 3905 10200 3001 5117 5147 1010 2021 2057 2024 2747 4082 2012 2431 3977 1012 1045 2342 2019 3992 14501 3202 2000 14358 1996 11520 3197 1012 2241 2006 1996 8824 15664 1010 2009 3544 1996 2300 10216 8243 1012 3531 3288 6110 3033 2005 1996 9829 7077 1012 2065 1996 10200 11896 1010 2057 2097 4558 3229 2000 1996 8013 9445 1010 2029 2097 3465 1996 2194 5190 1997 6363 2566 3178 1012 4604 14409 2000 2026 4684 2193 29541 1011 5890 2683 2683 2004 2574 2004 2017 7180 2006 2609 1012 4067 2017 2005 2115 25732 3086 2000 2023 3043 1012,2000 1996 8241 3447 2136 2057 2024 3015 2000 3189 1037 4187 4945 1999 1996 3078 7809 8241 2284 1999 1996 2264 3358 2951 2415 2012 3155 1016 4002 2572 1996 4860 13907 13330 2019 12978 3844 7698 8778 1996 3905 10200 3001 5117 5147 2021 2057 2024 2747 4082 2012 2431 3977 1045 2342 2019 3992 14501 3202 2000 14358 1996 11520 3197 2241 2006 1996 8824 15664 2009 3544 1996 2300 10216 8243 3531 3288 6110 3033 2005 1996 9829 7077 2065 1996 10200 11896 2057 2097 4558 3229 2000 1996 8013 9445 2029 2097 3465 1996 2194 5190 1997 6363 2566 3178 4604 14409 2000 2026 4684 2193 29541 5890 2683 2683 2004 2574 2004 2017 7180 2006 2609 4067 2017 2005 2115 25732 3086 2000 2023 3043
20,1007,190,173,17,303.0,291.2,901.9,49.531,538.9,610.7,325.8,312.3,1059.5,43.771,543.6,747.2,2043 13599 1996 17368 19204 17629 2015 2114 1037 7661 8051 7375 1010 2195 3341 3572 12636 1012 2005 6013 1010 1996 17368 16024 7142 7258 1998 26136 6593 14505 2007 3811 23569 27605 5422 19723 10288 3653 1011 19204 17629 2015 2077 11243 1996 17531 2063 2944 1012 2256 1042 26952 2050 7375 12970 2041 1996 19723 10288 3194 4498 2000 4906 2306 1996 7961 4796 14679 1012 2612 1010 2057 11160 2006 1037 11038 10713 2110 3698 2008 18452 2035 12461 15327 10071 2004 2309 7372 4983 11677 2011 3563 26136 6593 14505 6017 1012 2096 2023 18502 7619 11968 3012 2006 3375 1010 4895 3367 26134 3793 2007 3082 4289 3436 1010 2009 9319 8045 27841 2006 3115 12388 1012 2057 7594 1996 17856 17905 2006 1996 3115 2951 13462 1998 2179 2008 2087 19204 2015 10349 6669 1012 1996 7561 3446 2471 7580 12402 2013 5486 12461 15327 8304 1998 12542 26136 6593 14505 1012 2005 1996 4539 2224 2553 1997 2092 1011 2719 17928 20407 1010 2023 3119 1011 2125 2003 11701 1998 15123 2011 1996 5294 7312 1999 2373 8381 1998 5402 4175 1012,2043 13599 1996 17368 19204 17629 2015 2114 1037 7661 8051 7375 2195 3341 3572 12636 2005 6013 1996 17368 16024 7142 7258 1998 26136 6593 14505 2007 3811 23569 27605 5422 19723 10288 3653 19204 17629 2015 2077 11243 1996 17531 2063 2944 2256 1042 26952 2050 7375 12970 2041 1996 19723 10288 3194 4498 2000 4906 2306 1996 7961 4796 14679 2612 2057 11160 2006 1037 11038 10713 2110 3698 2008 18452 2035 12461 15327 10071 2004 2309 7372 4983 11677 2011 3563 26136 6593 14505 6017 2096 2023 18502 7619 11968 3012 2006 3375 4895 3367 26134 3793 2007 3082 4289 3436 2009 9319 8045 27841 2006 3115 12388 2057 7594 1996 17856 17905 2006 1996 3115 2951 13462 1998 2179 2008 2087 19204 2015 10349 6669 1996 7561 3446 2471 7580 12402 2013 5486 12461 15327 8304 1998 12542 26136 6593 14505 2005 1996 4539 2224 2553 1997 2092 2719 17928 20407 2023 3119 2125 2003 11701 1998 15123 2011 1996 5294 7312 1999 2373 8381 1998 5402 4175
21,13,3,3,0,9.4,9.1,315.4,6.281,24.3,306.3,21.1,20.3,128.3,5.498,49.0,108.0,10733 2379 2033,10733 2379 2033
22,14,2,2,0,8.9,8.5,87.9,2.403,18.4,79.4,20.5,19.7,176.1,5.216,42.8,156.4,25141 20786,25141 20786
23,16,3,3,0,10.0,9.7,202.4,5.711,25.2,192.7,21.7,20.9,175.0,5.834,49.2,154.1,21296 3857 2085,21296 3857 2085
24,15,4,3,1,10.3,9.9,240.9,5.317,23.6,231.0,22.1,21.1,200.9,6.539,49.4,179.8,2024 2017 3784 1029,2024 2017 3784
25,14,3,3,0,9.6,9.2,173.6,3.963,20.9,164.4,21.2,20.4,285.7,9.957,58.8,265.3,2419 12373 3231,2419 12373 3231
26,12,4,3,1,9.6,9.3,186.9,6.088,25.5,177.6,21.2,20.4,225.9,6.282,49.0,205.5,4157 2012 1022 1029,4157 2012 1022
27,63,16,15,1,26.8,26.0,234.1,7.637,55.5,208.1,40.4,38.9,184.7,7.975,81.3,145.8,2054 2003 1996 2190 2126 2000 7680 7849 4697 1037 2146 11135 2046 2895 5167 1029,2054 2003 1996 2190 2126 2000 7680 7849 4697 1037 2146 11135 2046 2895 5167
28,68,14,12,2,27.4,26.8,107.7,4.096,50.1,80.9,41.1,39.7,291.1,9.653,86.2,251.4,1996 9019 5683 5024 1010 2021 1996 2686 3347 2003 10989 2084 3517 1012,1996 9019 5683 5024 2021 1996 2686 3347 2003 10989 2084 3517
29,53,16,11,5,23.3,22.5,140.4,5.018,46.6,117.9,36.7,34.8,348.9,9.016,68.5,314.1,18558 1024 5080 9573 3143 1010 3813 8059 1016 1012 1018 1012 1015 1010 5549 3647,18558 5080 9573 3143 3813 8059 1016 1018 1015 5549 3647
30,64,14,12,2,25.9,25.2,273.3,9.408,57.0,248.1,39.2,37.7,264.7,9.963,82.6,227.0,5310 2356 1024 4863 17053 22182 2066 1045 2572 2047 2000 1039 4730 1012,5310 2356 4863 17053 22182 2066 1045 2572 2047 2000 1039 4730
31,58,14,13,1,24.6,23.9,150.9,5.383,47.9,127.0,38.0,36.5,202.2,9.044,80.9,165.7,3945 23032 1024 2659 2373 2358 2213 16703 25423 5339 5256 2013 3637 2742,3945 23032 2659 2373 2358 2213 16703 25423 5339 5256 2013 3637 2742
32,66,15,12,3,27.7,26.7,243.8,7.564,56.6,217.1,41.6,40.0,226.7,7.865,80.6,186.7,14764 1024 3319 1996 4139 5227 2077 1996 6845 3116 2012 2403 1024 4002 1012,14764 3319 1996 4139 5227 2077 1996 6845 3116 2012 2403 4002
