idx,chars,tokens,fabric_cycles,input_cycles,fpga_ids
43,651,117,9616,5812,10373 2303 7592 2136 1996 11585 26237 2949 2007 2048 15428 1999 1996 19204 17629 4130 1996 2034 4945 2003 1037 6149 2791 28616 18900 2818 2006 1037 4031 3319 6251 2008 3397 5567 26136 6593 14505 1996 2117 4945 2003 1037 2051 5833 2006 1037 2200 2146 12653 7099 2485 2000 1996 7953 17698 5787 1045 2079 2025 2156 3350 1997 6721 5248 2138 2119 15428 21376 2007 1996 2168 8079 2026 4081 2279 3357 2003 2000 15653 1996 7783 3671 3550 3793 19204 6192 6567 1998 2345 19204 8909 2015 2005 1996 7989 8168 2044 2008 2057 2064 5630 3251 1996 3277 2003 1999 17463 3217 9623 7741 16188 2298 6279 2030 1996 12504 4062 
44,767,138,11413,7512,2146 25732 2017 2024 23208 2019 11157 19204 17629 23468 2114 1037 17368 19204 17629 2224 7235 7953 3210 7969 7258 1998 2691 26136 6593 14505 2896 18382 1996 3793 1999 2119 10425 1998 12826 1996 22627 19204 8909 2015 7099 2011 7099 2005 2169 7099 2501 7953 3091 1999 27507 2193 1997 6434 19204 2015 2561 12709 2005 1996 1042 26952 2050 12504 2813 5119 2051 2005 1996 17368 19204 17629 1998 3251 1996 8909 2015 2674 3599 2065 1996 8909 2015 11234 6140 1996 2034 16965 2597 1996 4193 7953 3793 1996 8051 19204 1998 1996 17368 19204 7680 7849 4697 3463 2011 3091 13610 2061 1996 25169 10629 3065 2460 10861 5134 5396 7696 2146 20423 2015 1998 2200 2146 24962 10329 2079 2025 4666 27260 17856 17905 5852 2046 1996 10349 6149 2791 3556 
45,16,2,226,17,4633 4826 
46,10,3,217,11,21025 2102 3570 
47,15,5,290,16,8840 2140 2008 1055 3748 
48,18,5,339,19,2190 8223 2368 2379 2033 
49,15,4,284,16,19219 2080 26794 10651 
50,13,3,208,14,2064 2017 2393 
51,69,14,1058,70,1996 10651 4964 1996 5823 2021 2794 1037 6881 28903 2474 2290 2006 4684 
52,64,18,1109,65,16798 2575 5757 2538 2403 3590 5718 18558 8241 2318 2006 3417 3770 17914 14255 2094 28015 2475 
53,73,16,1242,74,4339 1037 3853 2008 5651 1996 23961 2232 10882 11735 6305 6895 2193 2478 24443 3989 
54,74,14,1045,75,9826 1996 6046 2166 2003 1996 2190 2112 2009 16180 2048 2440 2420 3733 
55,69,10,1030,70,2430 2924 4324 3037 6165 6706 13463 3816 3171 7755 
56,70,15,1093,71,2129 2079 1045 2415 1037 4487 2615 2007 23951 8758 2302 4911 1996 6687 9621 
57,301,58,4393,601,7632 3520 4283 2005 6016 2058 1996 4433 1045 3191 2083 2009 2006 1996 3345 2023 2851 1998 1045 2228 2009 1055 1999 2204 4338 3452 1037 3232 1997 2235 2477 1996 2117 2930 17993 1037 2391 2013 1996 17174 1998 1996 5166 2795 2003 4394 1996 1053 2509 5930 2071 2017 2202 2178 3413 2077 5958 4283 
58,405,68,5782,2098,1996 2837 2207 2049 9556 2006 9432 2044 1037 2416 3204 3319 1997 1996 2103 1055 6671 2291 2426 1996 11433 2020 3668 5353 2326 1037 4257 13258 2005 2460 9109 1998 1037 4405 2565 2005 2397 2305 5847 7176 1996 2902 2212 2000 1996 9435 4584 2056 4804 2052 2272 2013 1037 4666 1997 2110 8624 1998 1037 10754 13258 19037 2295 2053 3813 17060 2001 2445 
59,451,77,6506,2900,2057 2556 1037 8051 14613 3921 2000 4942 18351 19204 3989 2008 7341 1996 24880 3940 13590 2795 3031 1037 13117 2094 2298 6279 3252 4102 2000 1037 4007 26163 2770 2006 1037 2236 3800 17368 2256 2640 13416 2566 19204 2397 9407 2096 4363 7692 8192 2306 1996 5166 1997 1037 3054 2846 5080 2057 16157 2408 1037 2846 1997 7953 10742 1998 3189 2083 18780 10640 2114 1037 4431 7375 1998 1996 3119 12446 2920 
60,440,87,6598,2705,1045 2310 2042 2478 2023 13383 3679 2005 2055 2093 2706 2085 1996 3857 3737 2003 6581 1996 22082 2015 2514 5024 1998 2498 2038 25975 2098 1996 12191 15273 16142 2026 5417 4960 3698 1055 11231 25643 1998 2045 1055 1037 5023 4979 2006 1996 2067 2008 1055 3819 2005 1037 12293 2026 2069 12087 2003 2008 1996 2300 5835 4979 2003 1037 2210 8467 2061 1037 4206 5835 12102 2000 8155 2041 2043 2017 8815 2058 2145 2005 1996 3976 1045 1040 4965 2009 2153 
61,350,63,5071,1393,2552 2004 1037 3026 3642 12027 1045 2222 19351 1037 11336 1998 2017 2323 2298 2005 2093 2477 6149 2791 12883 3182 2073 1996 3642 2071 2022 11038 2302 5278 5248 1998 2151 7516 2073 7561 8304 2003 4394 2005 2169 3277 2425 2033 1996 2240 4863 2339 2009 5609 1998 6592 1037 5509 8081 2562 1996 4309 3622 1998 13558 1996 8489 
62,369,76,4991,1659,3853 17531 12129 16044 3793 13590 2015 29536 3540 2497 2292 19204 2015 3793 2000 27663 18992 3366 3975 2292 2904 2995 2096 2904 2904 6270 2005 2292 1045 1014 1045 19204 2015 3091 1015 1045 9530 3367 3940 19204 2015 1045 19204 2015 1045 1015 2065 13590 2015 3940 6151 28344 19204 2015 11867 13231 1045 1016 3940 2904 2995 3338 2709 19204 2015 4949 1056 29536 3540 2497 1056 29536 3540 2497 4895 2243 
63,956,174,14149,10311,1996 2381 1997 1996 7829 11661 2003 2006 2049 3302 1037 2466 2055 1037 3384 3482 2021 2009 2003 2428 1037 2466 2055 28648 1998 1996 4251 25239 2008 3582 2013 2009 2077 1996 11661 10578 1037 6636 2911 2001 4030 4795 1998 6450 2147 2589 2011 2192 2146 19208 3549 2052 25579 13826 14918 1998 27619 1997 13544 2367 10466 2046 1996 2907 1037 2832 2008 2071 2202 2420 1998 16678 1037 2312 3745 1997 1037 22613 1055 2561 3465 2043 1037 4744 2075 3237 3724 1996 2801 1997 1037 2309 3115 3482 2008 2071 2693 2013 4744 2000 2911 2000 3345 2302 2412 2108 4895 23947 2098 1996 5012 2001 9205 2013 8946 9209 5191 2055 5841 2000 8831 15175 2000 3477 2005 2047 27083 2664 2320 1996 3115 2165 2907 1996 3465 1997 3048 5350 2408 2019 4153 3062 2061 2521 2008 2009 24501 3270 5669 2073 2477 2020 2081 3810 6802 11123 2046 24286 20141 1998 26035 2075 2362 1037 3795 4610 3005 25180 2015 2087 1997 2149 2196 5060 
64,806,154,12196,8488,2000 9530 8873 27390 2063 1996 2326 3443 1037 5371 2315 9530 8873 2290 1999 1996 2622 7117 1998 3073 5300 2005 2169 3223 2492 1996 3677 1998 3417 4249 2491 2073 1996 8241 4952 2015 2065 2017 18168 4183 2068 1996 12398 2015 2024 2334 15006 2102 1998 3770 17914 1996 15899 2930 13385 1037 2504 2028 1997 2139 8569 2290 18558 11582 2030 7561 1998 2019 11887 4130 2000 1037 8833 5371 2043 2053 4130 2003 2445 6434 3632 2000 3115 7561 4044 10857 2065 2556 2202 23359 2058 1996 5371 2029 3084 2009 14057 2000 2058 15637 3265 10906 1999 1037 11661 2302 14584 1996 3746 2044 9260 1996 5371 23818 1996 2326 2005 3431 2000 2202 3466 1998 4638 1996 22752 9484 2000 12210 2008 1996 5300 2020 8209 2004 2017 3517 2065 1996 2326 11896 2000 2707 1996 2087 2691 3426 2003 1037 3417 2008 2003 2525 1999 2224 
65,931,186,13713,9942,7592 4067 2017 2005 4285 2041 1998 1045 1049 3374 2000 2963 2008 1996 3522 22613 3369 5591 1045 2310 2246 2046 2115 2344 1998 1045 2064 2156 2008 2009 2001 8966 1998 14501 2006 1996 2353 2061 2009 4165 2066 1996 4053 3047 1999 6671 2738 2084 2012 2256 9746 2182 1055 2054 1045 1040 2066 2000 2079 1045 2310 2525 3843 1037 6110 2012 2053 3465 2000 2017 1998 2009 2323 7180 2306 2274 2449 2420 2017 2123 1056 2342 2000 2709 1996 5591 8875 2021 2065 2017 2128 2583 2000 4604 1037 4248 6302 1997 1996 14793 2009 7126 2149 5210 1996 3277 2007 1996 6839 2061 2009 2987 1056 2562 6230 1045 2310 2036 2794 1037 2235 4923 2000 2115 4070 2004 2019 12480 2005 1996 4297 2239 8159 13684 2065 2505 2055 1996 6110 3475 1056 2157 2043 2009 3065 2039 2074 7514 2000 2023 4471 1998 2009 2097 2272 3442 2067 2000 2033 2738 2084 1996 2236 24240 2061 1045 2064 4066 2009 2041 2005 2017 3495 4283 2153 2005 2115 11752 1998 25380 2320 2062 2005 1996 5931 2707 
